Model,Best_CV_F1_macro,Best_Params
Group_HistGradientBoosting_tuned,0.8612316332224657,"{'model__class_weight': 'balanced', 'model__l2_regularization': 0.01, 'model__learning_rate': 0.04, 'model__max_iter': 120, 'model__max_leaf_nodes': 31}"
Group_LogisticRegression_tuned,0.8580793002567528,"{'model__C': 3.0, 'model__class_weight': None}"
Group_RandomForest_tuned,0.8505217647089804,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1}"
