Model,Family,Untuned_Task4_Model,Best_CV_F1_macro,Best_CV_F1_std,CV_Train_F1_macro,CV_Train_minus_Val_F1,Train_Accuracy,Train_Precision_macro,Train_Recall_macro,Train_F1_macro,Test_Accuracy,Test_Precision_macro,Test_Recall_macro,Test_F1_macro,All_Accuracy,All_Precision_macro,All_Recall_macro,All_F1_macro,Test_AUC_macro_OVR,Train_minus_Test_F1,Seconds,Rank_Test_F1,Rank_CV_F1,Rank_AUC,Rank_CV_Stability,Rank_Generalization_Gap,Test_Diagnostic_Rank_Mean,Rank_CV_Overfit,Validation_Diagnostic_Rank_Mean
ExtraTrees_tuned,randomized tree ensemble,ExtraTrees_balanced,0.7194882136178676,0.007470029676325887,0.9222222356183233,0.20273402200045565,0.9182816537467701,0.898477577020393,0.9214105290611139,0.9046419255917063,0.7432228915662651,0.7135946344381908,0.7114822389653632,0.7031287783258676,0.8657323688969258,0.8413773211885213,0.858419929539374,0.8432299959600194,0.8858686822132128,0.2015131472658387,328.839017868042,5.0,1.0,4.0,1.0,8.0,3.8,8.0,3.3333333333333335
HistGradientBoosting_tuned,regularized histogram boosting,HistGradientBoosting_balanced,0.7157724810887843,0.019404471408750217,0.840066793843173,0.12429431275438863,0.8414082687338501,0.8147172945379424,0.8332379468268344,0.8175845540461079,0.7447289156626506,0.712137932808561,0.7161001432939716,0.706385057814732,0.8123869801084991,0.7832375662958923,0.7980962706010383,0.7837750061892872,0.8907593668256953,0.11119949623137582,759.0374474525452,2.0,2.0,2.0,8.0,4.0,3.6,4.0,4.666666666666667
RandomForest_tuned,bagged tree ensemble,RandomForest_balanced,0.7108872495518775,0.015637841404139506,0.8569487805763583,0.14606153102448072,0.8756459948320413,0.8532305626080737,0.8622979403249781,0.8560370566339447,0.759789156626506,0.7179216034054726,0.7212602569401027,0.7158846485796841,0.840867992766727,0.8109694334548311,0.8199845112681636,0.8131287721104421,0.887916733979433,0.14015240805426055,698.9339866638184,1.0,3.0,3.0,2.0,6.0,3.0,6.0,3.6666666666666665
LinearSVM_tuned,large-margin linear classifier,LinearSVM_balanced,0.7107887075472579,0.016026169898910123,0.7420690652086112,0.031280357661353286,0.7932816537467701,0.7510502743768838,0.7328292100676442,0.7402997487174986,0.7612951807228916,0.7109662185730768,0.7010607521697203,0.7042182460043401,0.7836799276672695,0.738130040179643,0.7232899431896026,0.7292621777967533,0.8755835975805368,0.036081502713158464,64.81088638305664,3.0,4.0,6.0,3.0,1.0,3.4,1.0,2.6666666666666665
RBF_SVM_tuned,nonlinear kernel classifier,RBF_SVM_balanced,0.710286941427904,0.016866896528604736,0.8604532484763994,0.15016630704849532,0.8746770025839793,0.8519379266914004,0.8724709217765604,0.8562019123135487,0.7439759036144579,0.7068507694965138,0.7131818679552527,0.7037464990564258,0.8354430379746836,0.8075644596246742,0.8246815224710512,0.8099256899220627,0.8673795266974166,0.15245541325712286,140.99159693717957,4.0,5.0,7.0,5.0,7.0,5.6,7.0,5.666666666666667
GradientBoosting_tuned,sequential boosting ensemble,GradientBoosting,0.709353857511094,0.02311815810852371,0.8525332865898674,0.14317942907877335,0.8672480620155039,0.8563517931876596,0.8130631771493948,0.8297466414489437,0.7680722891566265,0.7076836659534305,0.6879288075045067,0.6948707019116774,0.8374773960216998,0.811126807571985,0.7755195863641484,0.7890611917996792,0.8910152497367775,0.1348759395372663,907.8892517089844,7.0,6.0,1.0,9.0,5.0,5.6,5.0,6.666666666666667
LogisticRegression_tuned,linear probabilistic baseline,LogisticRegression_balanced,0.7079907940624401,0.016536461156847156,0.7612869651159362,0.053296171053496044,0.7877906976744186,0.7536901205494392,0.7644132499071791,0.7531811114443677,0.7341867469879518,0.7035926523434194,0.7084415102737185,0.6969642952832754,0.7716998191681737,0.7381249130796365,0.7476160938424092,0.7360434073391685,0.8817163146233878,0.05621681616109231,60.528231620788574,6.0,7.0,5.0,4.0,2.0,4.8,2.0,4.333333333333333
DecisionTree_tuned,single interpretable tree,DecisionTree_default,0.6810272067888143,0.017512108647630684,0.744897629706389,0.06387042291757461,0.7483850129198967,0.749478095253067,0.7599821350943587,0.7295313324369456,0.6792168674698795,0.6835391643308535,0.6730442492255414,0.652227794182534,0.7276220614828209,0.7297290754703646,0.7338941143333395,0.7062653937074262,0.8360689257504271,0.07730353825441161,135.20459699630737,9.0,8.0,9.0,6.0,3.0,7.0,3.0,5.666666666666667
MLP_tuned,neural network baseline,MLP,0.6724929795563146,0.018365439073115653,0.9992158984633847,0.32672291890707006,0.9993540051679587,0.999569336778639,0.9988009592326139,0.9991839285956933,0.7281626506024096,0.6707507780371548,0.6709442919664713,0.6706407091650916,0.9179475587703436,0.8988766801519134,0.9004386404047741,0.8996318992531861,0.8448632503403122,0.3285432194306017,979.3386046886444,8.0,9.0,8.0,7.0,9.0,8.2,9.0,8.333333333333334
