Model,Family,Best_CV_F1_macro,Best_CV_F1_std,CV_Train_minus_Val_F1,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision_macro,Test_Recall_macro,Test_F1_macro,Enrolled_Precision,Enrolled_Recall,Enrolled_F1,Test_AUC,Seconds
Subgroup_HistGradientBoosting_tuned,regularized boosting Dropout-vs-Enrolled classifier,0.7726794836263668,0.02208703720119695,0.0760191831349295,0.7714285714285715,0.7894682463149194,0.7664628623188405,0.7894682463149194,0.7653536872991997,0.634375,0.8529411764705882,0.7275985663082438,0.8366461338633814,179.47881436347961
Subgroup_RandomForest_tuned,bagged tree Dropout-vs-Enrolled classifier,0.7725917725083647,0.019685352359299794,0.08355797628404105,0.7684210526315789,0.7815470450475273,0.7599954566106315,0.7815470450475273,0.7610235779491106,0.635483870967742,0.8277310924369747,0.7189781021897811,0.8293448526951764,79.90757322311401
Subgroup_RBF_SVM_tuned,kernel Dropout-vs-Enrolled classifier,0.7696134411234684,0.018566514353702674,0.11550328868283477,0.750375939849624,0.755407080865133,0.7376400791034937,0.755407080865133,0.7402979316055935,0.6216216216216216,0.773109243697479,0.6891385767790262,0.8307519729203157,23.546961784362793
Subgroup_LogisticRegression_tuned,linear Dropout-vs-Enrolled classifier,0.7684823148044866,0.01496573671217058,0.039314358764254154,0.7609022556390977,0.7719727235156357,0.7514830855458301,0.7719727235156357,0.752854555016654,0.6286644951140065,0.8109243697478992,0.7082568807339448,0.8425698148111704,14.656752586364746
