Model,Best_CV_F1_macro,Best_Params
ExtraTrees_tuned,0.7194882136178676,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 1}"
HistGradientBoosting_tuned,0.7157724810887843,"{'model__class_weight': 'balanced', 'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 180, 'model__max_leaf_nodes': 15}"
RandomForest_tuned,0.7108872495518775,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4}"
LinearSVM_tuned,0.7107887075472579,"{'model__C': 0.05, 'model__class_weight': 'balanced'}"
RBF_SVM_tuned,0.710286941427904,"{'model__C': 3.0, 'model__class_weight': 'balanced', 'model__gamma': 0.03}"
GradientBoosting_tuned,0.709353857511094,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__min_samples_leaf': 5, 'model__n_estimators': 180}"
LogisticRegression_tuned,0.7079907940624401,"{'model__C': 3.0, 'model__class_weight': 'balanced'}"
DecisionTree_tuned,0.6810272067888143,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
MLP_tuned,0.6724929795563146,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}"
