Model,Family,Best_CV_F1_macro,Best_CV_F1_std,CV_Train_minus_Val_F1,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision_macro,Test_Recall_macro,Test_F1_macro,At-Risk_Precision,At-Risk_Recall,At-Risk_F1,Test_AUC,Seconds
ExtraTrees_tuned_collapsed_to_At-Risk,final 3-class model collapsed after prediction,,,,0.8381024096385542,0.8380827634697603,0.8383306247333013,0.8380827634697603,0.8380692629349775,0.8299120234604106,0.8511278195488722,0.8403860430586488,0.9294548588666235,
Group_LogisticRegression_tuned,linear At-Risk detector,0.8580793002567528,0.01021656773341425,0.02199996958829442,0.8320783132530121,0.8321244287188561,0.8333333333333333,0.8321244287188561,0.8319333644710774,0.8541666666666666,0.8015037593984963,0.8269976726144298,0.9098923780038333,14.87731671333313
Group_HistGradientBoosting_tuned,regularized boosting At-Risk detector,0.8612316332224657,0.012583155169703382,0.08675032298088914,0.838855421686747,0.8389117590355981,0.8407667134174848,0.8389117590355981,0.8386446220930233,0.8666666666666667,0.8015037593984963,0.8328125000000001,0.9142448882386963,340.5983421802521
Group_RandomForest_tuned,bagged tree At-Risk detector,0.8505217647089804,0.02066787230603338,0.12855610781546067,0.829066265060241,0.8291395910590957,0.8322252747252747,0.8291395910590957,0.8286807057225587,0.865,0.7804511278195488,0.8205533596837945,0.9079349958606924,104.1927056312561
