Tuned_Model,Untuned_Task4_Model,Untuned_CV_F1_macro,Tuned_CV_F1_macro,Delta_CV_F1_macro,Untuned_Test_F1_macro,Tuned_Test_F1_macro,Delta_Test_F1_macro
RandomForest_tuned,RandomForest_balanced,0.6831315372161799,0.7108872495518775,0.027755712335697624,0.6909351197640828,0.7158846485796841,0.024949528815601307
HistGradientBoosting_tuned,HistGradientBoosting_balanced,0.7133912842493609,0.7157724810887843,0.002381196839423394,0.6853003095909393,0.706385057814732,0.021084748223792693
LinearSVM_tuned,LinearSVM_balanced,0.702867418028372,0.7107887075472579,0.007921289518885821,0.6963231590021847,0.7042182460043401,0.007895087002155465
RBF_SVM_tuned,RBF_SVM_balanced,0.7126695231036785,0.710286941427904,-0.002382581675774431,0.7053643549194369,0.7037464990564258,-0.0016178558630111084
ExtraTrees_tuned,ExtraTrees_balanced,0.6961222231864411,0.7194882136178676,0.02336599043142651,0.6952866063294055,0.7031287783258676,0.007842171996462088
LogisticRegression_tuned,LogisticRegression_balanced,0.7082225432455502,0.7079907940624401,-0.00023174918311008597,0.6999786214996271,0.6969642952832754,-0.0030143262163516704
GradientBoosting_tuned,GradientBoosting,0.7010127298666224,0.709353857511094,0.008341127644471591,0.7066685831713694,0.6948707019116774,-0.011797881259691945
MLP_tuned,MLP,0.6523742268016786,0.6724929795563146,0.020118752754636038,0.6706407091650916,0.6706407091650916,0.0
DecisionTree_tuned,DecisionTree_default,0.6272437727935254,0.6810272067888143,0.053783433995288954,0.627969676060968,0.652227794182534,0.024258118121565975
